source_ip,destination_ip,protocol,source_port,destination_port,bytes_transferred,packets_sent,packets_received,timestamp,service_type,encryption,authentication,access_control,data_encryption,data_integrity,error_detection,error_correction,compression,routing_protocol,packet_size,latency,response_time,connection_duration,connection_status,class
0,0,0,8478,2085,7640,3178,6061,3019,0,9589,9870,791,4417,5550,3057,9272,5993,7169,3047,7831,8981,9917,0,0
1,1,1,1662,844,1085,8354,2629,3837,1,9394,6169,8754,9954,3831,8222,7604,7672,7919,5313,2406,8581,8443,1,0
2,2,1,5906,1587,8908,9707,9655,3050,2,329,8494,4022,6648,3987,8010,956,1146,1182,1700,9445,1324,9258,1,0
3,3,2,2956,5576,53,7828,8592,2030,3,7344,7590,2154,42,8236,4743,9997,6341,1956,4899,5155,7083,396,0,0
4,4,1,9123,7071,9025,3314,3491,443,0,7744,3135,4822,528,5126,2332,9242,7156,6532,6002,4092,6385,2088,0,0
5,5,0,8748,5557,3336,7284,6434,1226,4,1166,2358,3488,1027,2514,9982,587,8694,573,6288,7168,5120,6023,2,0
6,6,1,7841,4001,6446,143,7124,9922,3,2015,3113,3826,1825,244,2397,4280,7518,2796,5852,9042,9720,2593,2,0
7,7,0,2556,7928,5383,9608,1702,5880,3,1823,7255,4104,2437,6656,8431,6538,2303,9329,2811,1328,8882,6868,0,0
8,8,1,2067,107,2728,2062,8592,7119,2,38,9856,1065,6089,4806,1180,9848,3702,3437,955,8720,8304,8879,0,0
9,9,2,3860,7537,4675,1565,4841,3848,1,6696,171,3870,3614,9692,7579,7755,9140,3192,12,8897,2848,6735,2,0
10,10,2,5509,4205,1426,2694,1803,6563,3,6650,5406,1823,2331,3737,2054,6389,2983,5767,4542,3099,9840,7922,2,1
11,11,1,2865,9593,3295,9086,4666,3163,4,1556,2307,5867,6069,5285,8162,8282,6193,8121,1974,2089,4815,4381,1,1
12,12,2,2494,4558,6432,8413,4649,4693,0,3578,3245,9618,3372,3928,5307,1578,1475,1506,6175,7839,3650,9104,3,0
13,13,0,4403,8606,8203,5836,6216,2654,4,5505,7438,4871,4233,3103,7162,9210,7068,9136,974,1587,5885,530,2,0
14,14,0,9266,3274,3546,5158,6807,9030,0,5378,991,8590,5327,5876,9049,7742,7181,5722,4418,3228,4104,4875,0,1
15,15,1,6436,9819,5606,8456,3762,9270,5,2245,5242,5694,7649,6457,9004,9771,9734,4205,9513,6311,9057,6830,3,0
16,16,2,9620,2513,1877,8909,1053,2189,3,1817,9457,96,9240,1835,6484,9717,4021,9213,6725,7233,668,961,0,0
17,17,1,5777,1052,425,6709,6105,363,5,2222,9791,1560,7716,2995,614,938,2584,2571,5390,4644,8876,3376,3,0
18,18,1,8225,9988,8789,8755,491,3983,3,656,7027,5934,5038,2600,8412,7461,8041,8197,3935,6762,1103,5127,2,1
19,19,2,9962,5895,5088,6829,2252,3872,3,2362,5608,1433,9596,5434,5312,5765,4886,8208,242,5784,2198,4309,3,0
20,20,2,6585,7747,8438,8482,9486,1812,1,5822,6493,6339,5457,7262,5241,5092,5469,9774,9196,1595,278,6165,0,0
21,21,2,7177,5033,4035,9170,3256,8685,3,6015,9818,8290,3018,9169,8993,6061,3902,4441,7201,9021,7852,772,3,0
22,22,1,1752,1113,4681,1940,291,7203,1,9575,8487,7656,6743,7125,2752,2331,3349,5461,9076,3313,5779,7826,2,1
23,23,0,3950,2327,8092,5585,6713,9771,1,1902,5741,8548,7405,7409,7791,8186,862,994,7307,6922,1721,6764,0,1
24,24,0,4270,3925,8886,1378,7060,4246,4,6452,5604,7510,2843,4093,6636,4840,2262,6221,1748,9321,2904,2081,2,1
25,25,2,2913,9149,2782,1594,516,3018,3,4740,1474,2072,2153,2794,8458,1961,6808,5719,9851,2116,4206,4815,1,1
26,26,2,7149,4071,6832,1227,5292,1210,3,1501,9860,6108,4742,9156,6230,6845,9445,8760,42,4779,4401,7558,1,1
27,27,2,7487,846,5975,1394,2798,2365,0,1450,4475,8541,134,6032,5066,4405,3402,1251,4952,6061,5482,1629,1,1
28,28,0,9049,3608,5817,2192,4067,4721,2,9859,5420,7923,146,1432,9871,819,2006,3527,6342,2412,4774,2893,3,1
29,29,2,5723,2497,8079,9569,2886,2402,2,1475,6006,2708,8443,4489,5765,1762,4077,3067,5438,961,8683,9345,2,1
30,30,2,4151,9678,4046,9412,876,7583,3,1827,784,9922,5502,4747,2568,8954,6467,8546,8822,8896,205,4069,0,1
31,31,1,2889,3888,288,5515,6407,6864,3,6928,256,8275,8835,9724,5127,1056,331,2244,302,1095,1483,3091,3,1
32,32,0,2482,1415,3790,9862,5041,6377,4,19,917,165,3966,1952,6896,4017,8550,7296,6107,4512,6244,909,1,0
33,33,0,7615,5927,5914,5660,1150,7146,1,182,9931,8444,3646,7308,8374,5029,9553,2146,803,4172,8223,1349,3,0
34,34,0,8039,1892,8181,79,718,9607,5,9129,658,5538,8100,82,7402,3328,1430,6795,1341,8178,6620,3782,0,0
35,35,1,6777,6309,7796,9587,2394,5456,1,5875,6715,407,8925,8520,2708,8531,9059,3715,704,4275,2276,3879,0,0
36,36,0,3573,8044,3405,9213,6076,5726,4,9277,1015,8634,9003,5616,1843,4843,8543,6205,7271,8746,832,192,1,1
37,37,2,3964,8231,4840,9535,7902,3272,1,1096,2237,4500,7087,1060,4614,7166,2189,3596,2962,5320,6447,9666,2,1
38,38,0,577,5869,1370,8406,4157,2543,2,8150,4346,2910,2869,9031,2758,8180,8300,601,1775,4746,2086,6387,1,0
39,39,2,6814,3817,3268,6832,1230,9076,0,8935,1452,6051,4872,4462,7544,1724,4265,8870,8766,1437,3311,1580,1,1
40,40,0,2634,8255,8869,7127,4328,5023,1,8243,9583,3843,7492,9868,4412,5901,5933,598,3321,807,3300,8294,3,1
41,41,0,391,1917,5495,1311,8150,8430,3,3129,792,7244,1436,295,979,9169,6055,1010,8927,3345,1435,4416,0,0
42,42,2,3256,9489,7873,6366,212,8966,4,829,6011,6903,28,6578,290,5389,597,8055,5282,2303,5940,6485,2,0
43,43,1,7112,8055,602,9382,6262,2410,0,1150,7752,4460,652,2968,3066,6891,5318,1193,1391,1644,1307,3520,3,1
44,44,1,9241,4732,7924,1174,1957,7741,2,5956,15,2090,2680,1846,4392,7656,8427,8695,2037,9327,4945,1071,2,1
45,45,0,6754,2032,7671,7550,7665,6538,5,5238,576,5096,7105,4796,1478,5479,972,8479,5955,9465,1013,4490,0,1
46,46,2,5947,6062,2534,4781,2500,3330,1,3905,4550,3612,8394,5120,7763,384,5124,6933,8248,8234,3768,9470,2,0
47,47,2,7467,9329,1591,5571,8589,4493,5,6872,5034,4514,4379,3455,6933,69,3265,1655,2426,608,3226,982,2,1
48,48,0,9799,6861,2101,5969,6135,3307,4,1802,1138,3759,7468,4663,4476,8560,2976,1708,5283,5956,501,5823,0,0
49,49,1,1745,9614,6940,6661,5470,2658,0,3756,2702,1169,1630,8574,1721,3766,5644,8431,9452,40,6153,5793,2,0
50,50,2,6902,4389,7676,8700,914,2116,5,5851,9354,650,8487,514,285,7383,5891,6165,8494,6555,2434,5894,1,1
51,51,2,8888,3825,7357,1372,2732,7055,0,3894,7225,977,9613,338,7752,546,7669,754,767,3425,5336,7068,3,0
52,52,2,9713,5356,4823,1221,2573,9867,4,9583,5995,7625,3066,8428,2373,5291,2819,2158,4573,7289,8017,2758,2,0
53,53,1,5012,3802,476,5511,3489,4006,3,8244,7474,6944,660,6994,4080,2403,6275,7644,3201,5480,8965,7309,1,0
54,54,0,9196,8193,9171,1324,520,4084,2,5889,4424,3969,9696,1988,329,6816,7787,1184,1243,8692,6910,2411,2,0
55,55,2,7257,5391,3084,5819,6904,2668,3,6137,5330,46,4515,2295,2096,1641,5233,1646,2951,5311,4135,6814,2,0
56,56,2,9203,444,3891,1650,8526,3172,4,4872,6041,3560,516,7474,9066,809,9723,1150,355,4299,6967,7138,1,1
57,57,1,4281,522,7600,3927,8691,8845,0,6322,6510,7058,2515,9598,8446,2608,4630,737,8766,436,7128,3148,1,1
58,58,0,4282,4812,3742,1379,8250,8278,0,3421,1332,1709,1602,3294,7412,5700,801,163,2916,8635,6846,2581,1,1
59,59,0,6807,124,9964,3303,4693,1751,4,6845,9680,2370,51,6268,727,7691,7282,2601,8957,6378,2321,9636,3,0
60,60,1,6065,5343,9716,4383,7387,1271,0,5653,4605,1377,4893,6234,7223,1142,5405,9852,7234,8457,9960,5578,0,0
61,61,1,8745,5566,4882,5138,7183,3152,5,2893,602,5874,8343,6504,1539,7585,134,4708,7942,246,4755,7706,1,1
62,62,1,5135,5617,3247,9048,5918,2729,3,9497,873,2485,2754,7479,8960,3222,4416,8288,3759,9392,1062,9069,3,1
63,63,2,6585,770,4181,404,1949,1294,5,9413,3798,8321,9562,6218,1947,4919,7921,115,4351,6344,1252,9157,0,1
64,64,1,8602,1619,7286,7500,477,9270,4,9011,1143,2055,6950,8707,8977,3282,5418,6504,8496,7698,8628,6901,2,1
65,65,1,7565,8583,8791,8831,2084,8264,1,1710,882,3527,3685,5226,1738,8059,1390,5257,8796,3706,4689,6972,0,1
66,66,2,3176,3699,976,1010,3770,8624,0,1801,6600,9822,6998,7418,1330,5470,577,7928,1236,5124,4859,8644,1,0
67,67,2,4311,6566,5144,9481,2016,8625,4,6616,986,3357,6040,1577,2399,4451,5055,1861,5233,1063,2579,6636,3,1
68,68,0,4071,7827,6101,1530,2450,5034,1,4350,5809,1366,1567,4844,3079,7018,2056,5019,6298,8396,620,6410,1,1
69,69,1,1053,4440,9806,3011,6722,6460,5,6336,8918,7244,3202,6357,2720,1292,6245,2257,7973,6156,9168,3151,1,1
70,70,1,4324,5639,20,1780,2562,9032,5,167,531,3453,9146,3822,5318,9175,8634,3486,9079,4566,6421,9395,0,1
71,71,2,7713,3501,2308,7120,9280,6720,4,463,8602,9402,2138,5935,9271,4136,8798,3070,8838,6640,3450,4472,1,1
72,72,1,1979,9334,7770,8203,5101,3800,3,4566,7331,3263,8353,3787,5657,6584,4857,6558,5798,4664,5181,6338,1,0
73,73,0,8601,4037,4050,2928,2924,802,5,1092,4771,4403,8875,9606,6313,1728,7077,4028,1749,7670,5311,7869,0,0
74,74,0,9086,1755,2614,7443,4414,8116,1,2963,9045,7453,2173,1281,9520,8113,3013,6944,258,1852,9617,3334,2,1
